pedestrianId waitingTimeStart-PID2
1 5.999999999999979
2 4.799999999999983
3 4.399999999999984
5 1.999999999999993
6 4.799999999999983
10 7.199999999999974
12 7.199999999999974
17 6.399999999999977
18 5.59999999999998
19 5.59999999999998
24 4.799999999999983
25 0.7999999999999972
30 6.799999999999976
33 7.999999999999972
34 7.999999999999972
35 3.599999999999987
37 5.999999999999979
39 6.399999999999977
40 7.199999999999974
44 7.199999999999974
45 6.799999999999976
47 5.59999999999998
48 7.999999999999972
49 6.399999999999977
52 2.79999999999999
54 7.599999999999973
58 8.39999999999997
62 5.999999999999979
63 9.999999999999964
64 2.3999999999999915
65 8.39999999999997
68 6.799999999999976
69 1.999999999999993
72 3.599999999999987
73 7.599999999999973
76 1.1999999999999957
77 7.599999999999973
83 6.399999999999977
85 2.79999999999999
88 5.59999999999998
89 5.1999999999999815
90 7.999999999999972
91 7.599999999999973
93 7.199999999999974
95 2.79999999999999
96 6.799999999999976
97 1.5999999999999943
99 1.1999999999999957
100 7.999999999999972
103 6.799999999999976
104 8.39999999999997
105 3.599999999999987
106 9.999999999999964
107 5.59999999999998
108 5.59999999999998
109 5.59999999999998
110 8.399999999999977
112 5.59999999999998
116 14.80000000000014
117 7.199999999999974
118 5.1999999999999815
120 7.199999999999974
123 5.999999999999979
124 8.39999999999997
127 8.39999999999997
134 1.1999999999999957
135 7.599999999999973
137 7.199999999999974
138 1.999999999999993
140 0.7999999999999972
142 6.399999999999977
145 4.799999999999983
146 4.799999999999983
147 8.39999999999997
153 6.399999999999977
156 2.3999999999999915
158 6.399999999999977
159 5.999999999999979
160 1.1999999999999957
162 11.599999999999987
163 5.1999999999999815
164 3.1999999999999886
166 6.399999999999977
167 1.1999999999999957
168 5.59999999999998
171 4.399999999999984
173 7.999999999999972
175 4.399999999999984
176 2.79999999999999
179 6.399999999999977
180 4.399999999999984
182 7.199999999999974
183 4.799999999999983
184 5.1999999999999815
185 5.59999999999998
188 7.999999999999972
191 5.999999999999979
193 3.1999999999999886
197 5.59999999999998
199 3.999999999999986
202 8.39999999999997
204 3.599999999999987
205 7.999999999999972
207 7.199999999999974
208 5.999999999999979
211 5.999999999999979
213 9.599999999999966
219 1.1999999999999957
221 4.799999999999983
224 5.999999999999979
225 7.199999999999974
227 2.3999999999999915
229 5.59999999999998
235 4.799999999999983
237 5.999999999999979
239 9.199999999999967
240 3.999999999999986
243 5.59999999999998
244 3.999999999999986
245 5.999999999999979
246 5.999999999999979
248 8.39999999999997
249 10.400000000000084
251 3.999999999999986
252 8.400000000000027
255 3.1999999999999886
260 5.59999999999998
261 5.59999999999998
263 9.999999999999964
266 2.79999999999999
269 7.599999999999973
270 7.999999999999972
271 4.399999999999984
274 3.1999999999999886
275 6.399999999999977
276 13.200000000000188
277 7.199999999999974
278 7.999999999999972
279 7.20000000000001
282 4.799999999999983
283 5.1999999999999815
287 6.399999999999977
288 4.399999999999984
291 6.799999999999976
292 6.799999999999976
293 2.3999999999999915
296 7.599999999999973
297 1.1999999999999957
298 7.999999999999972
300 7.199999999999974
