timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 31 49 0.3840466869812915 0.005953313018708495
2 36 102 0.38875148698912715 0.0012485130108728648
2 54 79 0.3899593347456268 4.066525437323998E-5
2 120 159 0.37863623942495384 0.011363760575046178
2 120 162 0.3891568267670545 8.431732329455266E-4
3 12 24 0.3793009044756745 0.01069909552432552
3 13 62 0.3861022006572623 0.0038977993427377067
3 51 57 0.377134808804349 0.012865191195650993
4 12 24 0.3793009044756745 0.01069909552432552
4 51 57 0.377134808804349 0.012865191195650993
4 57 175 0.38910089568362854 8.991043163714685E-4
4 93 149 0.38253314768422825 0.007466852315771766
4 100 175 0.37889339302620884 0.011106606973791178
4 150 169 0.383689102177159 0.0063108978228409995
4 154 190 0.3815570193423368 0.00844298065766319
5 12 24 0.3793009044756745 0.01069909552432552
5 75 191 0.3825237976822389 0.007476202317761138
5 93 149 0.38253314768422825 0.007466852315771766
6 24 44 0.38237774466113517 0.007622255338864847
6 67 108 0.38427604203359755 0.00572395796640246
6 125 189 0.3780549772104224 0.011945022789577597
6 176 190 0.3888003972866498 0.001199602713350234
7 24 44 0.38237774466113517 0.007622255338864847
7 151 163 0.3852515686044128 0.004748431395587227
8 42 137 0.3872188881155723 0.0027811118844277005
8 47 152 0.3820210096042867 0.007978990395713315
8 49 182 0.38386690838493287 0.006133091615067143
9 2 112 0.38762101155470624 0.0023789884452937726
9 11 158 0.3887876179370503 0.0012123820629497128
9 96 161 0.3874621681886685 0.0025378318113314924
9 131 197 0.3864289735517217 0.003571026448278336
10 94 162 0.38037371384726953 0.009626286152730479
12 74 199 0.3783664634740981 0.011633536525901933
13 1 82 0.38302027815648343 0.006979721843516584
13 34 93 0.3851568685613271 0.004843131438672932
13 34 180 0.3840821741792629 0.005917825820737133
13 95 158 0.3896381879400552 3.6181205994478827E-4
14 4 100 0.3839388654158602 0.006061134584139816
14 34 93 0.3851568685613271 0.004843131438672932
14 34 180 0.3840821741792629 0.005917825820737133
14 86 179 0.38128970143153396 0.008710298568466057
16 11 81 0.3899183270396368 8.167296036321048E-5
16 23 199 0.3828002240704521 0.0071997759295479025
18 14 35 0.3855881065414499 0.004411893458550087
20 22 59 0.37993895759341745 0.010061042406582565
20 87 179 0.38563297941562374 0.004367020584376269
20 122 199 0.38772945813947723 0.002270541860522779
21 16 82 0.38601321861380067 0.003986781386199345
23 18 106 0.3822146502741156 0.007785349725884405
25 118 144 0.3866939373155658 0.00330606268443423
28 61 64 0.3864802543275014 0.003519745672498631
29 53 85 0.38698317665374793 0.0030168233462520844
29 151 186 0.3862624988162249 0.003737501183775138
32 26 50 0.37707389134768154 0.012926108652318469
32 71 76 0.3807970317161777 0.009202968283822333
33 64 104 0.3803302848938594 0.00966971510614062
35 56 193 0.3899264513067558 7.354869324421864E-5
36 24 196 0.3786914656130235 0.011308534386976488
36 39 45 0.3823397759194331 0.007660224080566935
36 76 150 0.38586049199053596 0.004139508009464055
37 75 176 0.3873900526564259 0.002609947343574115
38 55 191 0.3800604239114423 0.009939576088557722
39 56 85 0.3856288436933481 0.004371156306651913
39 63 177 0.38152769898428085 0.008472301015719164
39 172 182 0.38415771232103046 0.005842287678969549
42 92 158 0.38938926606698476 6.107339330152506E-4
42 112 149 0.3854540110829534 0.004545988917046606
44 37 51 0.38332678806406967 0.0066732119359303455
45 49 200 0.3804192170999717 0.00958078290002834
47 41 85 0.38351616450120835 0.006483835498791668
48 119 180 0.38838962317366 0.0016103768263400209
48 136 198 0.3834307829181865 0.0065692170818135165
49 7 98 0.3789152017277901 0.011084798272209928
50 65 127 0.3846880408298432 0.00531195917015681
52 63 165 0.38189850398814046 0.008101496011859555
52 151 193 0.3799936714766273 0.010006328523372687
54 5 131 0.38287053222210854 0.007129467777891474
55 15 159 0.3848992811071989 0.005100718892801115
55 17 50 0.3845449050514102 0.0054550949485898115
55 23 96 0.38612478284957974 0.0038752171504202737
55 55 114 0.3883751233576983 0.0016248766423017091
56 15 159 0.3848992811071989 0.005100718892801115
56 115 118 0.3832027519820872 0.006797248017912816
57 28 42 0.38291679394244865 0.007083206057551361
58 160 175 0.38348206942233765 0.0065179305776623675
59 34 136 0.37931554257545846 0.010684457424541549
59 106 113 0.38584438440717606 0.004155615592823958
59 160 175 0.38348206942233765 0.0065179305776623675
61 3 28 0.38536199175729025 0.004638008242709768
61 56 169 0.3825166535259457 0.007483346474054298
62 79 170 0.3841004185390629 0.005899581460937109
63 23 118 0.3813766813266352 0.0086233186733648
63 29 86 0.3893425124892633 6.574875107366873E-4
64 21 182 0.3788686385793426 0.011131361420657404
64 56 65 0.37888830905458637 0.011111690945413644
65 53 96 0.3813239687495531 0.008676031250446914
65 71 128 0.3768545586409165 0.01314544135908352
66 9 71 0.3872890731612234 0.002710926838776606
67 59 156 0.3827496869323166 0.007250313067683423
67 100 196 0.37832676290868333 0.01167323709131668
67 190 195 0.37897541663826145 0.01102458336173856
69 87 195 0.3786334016693591 0.011366598330640909
70 18 87 0.38991599634964685 8.400365035315938E-5
70 89 163 0.386034887068522 0.003965112931477999
70 109 171 0.3811343722104675 0.008865627789532537
70 136 139 0.38368064369016447 0.006319356309835544
72 86 151 0.38170511895613 0.008294881043869995
72 106 140 0.3862656276315132 0.003734372368486838
73 17 164 0.3871096969142234 0.002890303085776591
74 43 84 0.3785843688960178 0.011415631103982193
74 76 90 0.37938610195185984 0.010613898048140169
76 12 24 0.38469321676859575 0.005306783231404266
78 84 144 0.38959577729244227 4.0422270755774425E-4
78 116 117 0.38928182957846524 7.181704215347695E-4
79 29 144 0.3894147852745148 5.85214725485228E-4
79 74 134 0.38723884961445304 0.0027611503855469732
80 105 198 0.3848583997026796 0.0051416002973204145
81 7 186 0.37893817203169583 0.011061827968304183
