timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
81 57 140 0.38927812704707254 7.218729529274714E-4
81 113 153 0.38432624069200877 0.005673759307991244
82 7 186 0.37893817203169583 0.011061827968304183
82 11 177 0.3792194756752776 0.01078052432472243
82 17 187 0.38656933599924825 0.0034306640007517597
82 23 135 0.38045735140610126 0.00954264859389875
82 46 50 0.38697644139749976 0.0030235586025002537
82 134 142 0.38272946387899753 0.00727053612100248
84 7 186 0.38143182748393994 0.008568172516060069
84 24 124 0.3828738540023563 0.007126145997643718
84 48 162 0.38800901330402765 0.0019909866959723632
84 98 119 0.38559755701398707 0.004402442986012944
85 7 186 0.38143182748393994 0.008568172516060069
85 48 162 0.38800901330402765 0.0019909866959723632
85 119 172 0.3890580659819136 9.419340180863989E-4
86 7 186 0.38143182748393994 0.008568172516060069
86 116 130 0.37859448247588207 0.011405517524117947
86 119 172 0.3890580659819136 9.419340180863989E-4
87 7 186 0.38143182748393994 0.008568172516060069
87 116 130 0.37859448247588207 0.011405517524117947
88 7 186 0.38143182748393994 0.008568172516060069
88 161 173 0.38230307668896246 0.007696923311037551
89 7 186 0.38143182748393994 0.008568172516060069
90 7 186 0.38143182748393994 0.008568172516060069
90 48 163 0.37694361337271165 0.013056386627288363
90 74 173 0.3827046782582698 0.0072953217417301985
90 117 172 0.38067009128703994 0.009329908712960078
91 45 82 0.3888037972768989 0.001196202723101114
91 48 53 0.38549921056022807 0.004500789439771946
91 50 109 0.37889826330441306 0.01110173669558695
91 117 172 0.38067009128703994 0.009329908712960078
92 48 53 0.38549921056022807 0.004500789439771946
92 98 116 0.3858655910925592 0.004134408907440823
93 53 164 0.38244004851054975 0.007559951489450267
95 63 171 0.3840502588613249 0.005949741138675135
95 77 90 0.38491259462784116 0.005087405372158849
95 93 181 0.38352602638667826 0.0064739736133217485
96 72 93 0.3859861236827502 0.004013876317249809
97 69 172 0.38240179004983893 0.007598209950161083
97 72 93 0.3859861236827502 0.004013876317249809
97 79 93 0.38214351889794235 0.007856481102057666
98 45 70 0.38387553911880495 0.00612446088119506
98 46 162 0.3890581604276895 9.418395723105322E-4
98 49 68 0.3790497219293302 0.010950278070669839
98 72 93 0.3859861236827502 0.004013876317249809
98 79 93 0.38214351889794235 0.007856481102057666
99 49 68 0.3790497219293302 0.010950278070669839
99 106 153 0.38329210363760124 0.006707896362398769
100 93 197 0.3785061929801074 0.01149380701989261
100 116 181 0.3851434835507145 0.004856516449285531
101 54 119 0.38710836514554703 0.0028916348544529846
101 76 141 0.38706953180504355 0.0029304681949564593
101 93 197 0.3785061929801074 0.01149380701989261
102 38 68 0.3844959561611852 0.005504043838814809
102 52 76 0.3881224215526563 0.0018775784473437085
102 54 119 0.38710836514554703 0.0028916348544529846
102 77 101 0.3813063691296444 0.008693630870355629
103 36 171 0.38659600441566816 0.0034039955843318537
103 52 173 0.38607292332806264 0.003927076671937368
104 52 173 0.38607292332806264 0.003927076671937368
105 2 170 0.38890776143682343 0.001092238563176584
105 52 173 0.38607292332806264 0.003927076671937368
105 53 162 0.37878436524407577 0.011215634755924242
105 73 150 0.3860238588342742 0.0039761411657258106
105 150 189 0.38389511450391245 0.006104885496087564
106 73 150 0.3860238588342742 0.0039761411657258106
108 105 139 0.3891210539358641 8.789460641359104E-4
109 2 54 0.38200767489588666 0.007992325104113351
110 2 54 0.38200767489588666 0.007992325104113351
111 76 90 0.3898644574183802 1.3554258161979638E-4
112 2 67 0.38415376090508224 0.005846239094917771
112 76 90 0.3898644574183802 1.3554258161979638E-4
114 89 139 0.38092148274031706 0.00907851725968295
116 79 119 0.37723175002633597 0.012768249973664048
117 79 119 0.37723175002633597 0.012768249973664048
118 68 139 0.3797692937288338 0.010230706271166234
118 124 173 0.3814409028535816 0.008559097146418393
118 148 189 0.3824477572975552 0.007552242702444811
119 1 189 0.3849002903293487 0.00509970967065132
119 68 139 0.3797692937288338 0.010230706271166234
121 173 182 0.38730212733107305 0.0026978726689269594
124 89 139 0.3828165377185182 0.007183462281481812
124 105 172 0.3862369949644588 0.0037630050355412226
125 69 116 0.3856785311144213 0.0043214688855787164
126 47 138 0.3856909822215854 0.004309017778414637
126 69 116 0.3856785311144213 0.0043214688855787164
128 1 177 0.385511346336665 0.004488653663335007
132 116 142 0.3833587719359126 0.006641228064087401
152 5 183 0.3843320306520133 0.00566796934798669
153 145 149 0.3887427867039957 0.0012572132960043114
154 25 185 0.38904563613273235 9.543638672676602E-4
