pedestrianId evacuationTime-PID1
1 78.40000000000003
2 66.39999999999986
3 64.79999999999984
4 80.80000000000007
5 86.40000000000015
6 67.19999999999987
7 67.59999999999988
8 78.00000000000003
9 91.20000000000022
10 80.00000000000006
11 78.40000000000033
12 68.8000000000002
13 64.80000000000014
14 59.600000000000065
15 70.40000000000022
16 80.00000000000036
17 58.800000000000054
18 72.00000000000024
19 78.00000000000033
20 82.00000000000038
21 59.60000000000042
22 53.20000000000033
23 79.6000000000007
24 90.00000000000085
25 54.00000000000034
26 97.60000000000096
27 92.00000000000088
28 69.60000000000056
29 75.60000000000065
30 80.00000000000071
31 77.20000000000103
32 98.80000000000133
33 105.60000000000143
34 52.400000000000674
35 60.80000000000079
36 90.80000000000122
37 68.0000000000009
38 101.20000000000137
39 76.80000000000102
40 72.80000000000096
41 78.40000000000111
42 69.20000000000098
43 71.20000000000101
44 64.80000000000092
45 61.600000000000875
46 86.80000000000123
47 77.2000000000011
48 90.00000000000128
49 84.4000000000012
50 66.80000000000095
