pedestrianId evacuationTime-PID1
1 78.40000000000003
2 66.39999999999986
3 65.19999999999985
4 81.20000000000007
5 86.40000000000015
6 67.19999999999987
7 67.59999999999988
8 78.40000000000003
9 91.20000000000022
10 80.00000000000006
11 92.00000000000053
12 66.80000000000017
13 78.80000000000034
14 65.60000000000015
15 76.0000000000003
16 76.80000000000031
17 68.40000000000019
18 153.6000000000014
19 82.40000000000039
20 72.40000000000025
21 62.000000000000455
22 74.40000000000063
23 92.40000000000089
24 92.00000000000088
25 82.00000000000074
26 57.60000000000039
27 92.80000000000089
28 82.00000000000074
29 57.60000000000039
30 80.80000000000072
31 72.80000000000096
32 75.200000000001
33 108.00000000000146
34 73.60000000000097
35 69.20000000000091
36 73.60000000000097
37 57.20000000000074
38 57.20000000000074
39 104.40000000000141
40 89.2000000000012
41 106.80000000000152
42 78.40000000000111
43 66.00000000000094
44 86.40000000000123
45 64.00000000000091
46 108.80000000000155
47 79.20000000000113
48 97.60000000000139
49 80.40000000000114
50 102.00000000000145
