pedestrianId evacuationTime-PID1
1 78.00000000000003
2 65.59999999999985
3 64.79999999999984
4 80.80000000000007
5 86.00000000000014
6 66.79999999999987
7 67.59999999999988
8 78.00000000000003
9 90.80000000000021
10 79.20000000000005
11 91.20000000000051
12 66.40000000000016
13 78.00000000000033
14 65.60000000000015
15 75.20000000000029
16 76.80000000000031
17 67.60000000000018
18 152.80000000000138
19 81.60000000000038
20 72.00000000000024
21 61.20000000000044
22 74.00000000000063
23 92.00000000000088
24 91.60000000000088
25 81.20000000000073
26 57.60000000000039
27 92.00000000000088
28 81.60000000000073
29 57.20000000000039
30 80.00000000000071
31 72.80000000000096
32 74.80000000000099
33 107.20000000000145
34 72.80000000000096
35 69.20000000000091
36 73.20000000000097
37 56.800000000000736
38 56.40000000000073
39 104.0000000000014
40 88.40000000000119
41 106.40000000000151
42 78.40000000000111
43 66.00000000000094
44 86.00000000000122
45 64.00000000000091
46 108.80000000000155
47 79.20000000000113
48 97.20000000000138
49 80.40000000000114
50 102.00000000000145
